语言代码		国家/地区
fi				芬兰语
fi-FI			芬兰语-芬兰
fr				法国
fr-BE			法国-比利时
fr-CA			法国-加拿大
fr-FR			法国-法国
fr-LU			法国-卢森堡
fr-MC			法国-摩纳哥
fr-CH			法国-瑞士
gl				加利西亚
gl-ES			加利西亚-加利西亚
ka				格鲁吉亚州
ka-GE			格鲁吉亚州-格鲁吉亚州
de				德国
de-AT			德国-奥地利
de-DE			德国-德国
de-LI			德国-列支敦士登
de-LU			德国-卢森堡
de-CH			德国-瑞士
el				希腊
el-GR			希腊-希腊
gu				Gujarati
gu-IN			Gujarati-印度
he				希伯来
he-IL			希伯来-以色列
hi				北印度语
hi-IN			北印度的-印度
hu				匈牙利
hu-HU			匈牙利的-匈牙利
is				冰岛语
is-IS			冰岛的-冰岛
id				印尼
id-ID			印尼-印尼
it				意大利
it-IT			意大利-意大利
it-CH			意大利-瑞士
ja				日本
ja-JP			日本-日本
kn				卡纳达语
kn-IN			卡纳达语-印度
kk				Kazakh
kk-KZ			Kazakh-哈萨克
kok				Konkani
kok-IN			Konkani-印度
ko				韩国
ko-KR			韩国-韩国
ky				Kyrgyz
ky-KZ			Kyrgyz-哈萨克
lv				拉脱维亚
lv-LV			拉脱维亚的-拉脱维亚
lt				立陶宛
lt-LT			立陶宛-立陶宛
mk				马其顿
mk-MK			马其顿-FYROM
ms				马来
ms-BN			马来-汶莱
ms-MY			马来-马来西亚
mr				马拉地语
mr-IN			马拉地语-印度
mn				蒙古
mn-MN			蒙古-蒙古
no				挪威
nb-NO			挪威 (Bokm?l)-挪威
nn-NO			挪威 (Nynorsk)-挪威
pl				波兰
pl-PL			波兰-波兰
pt				葡萄牙
pt-BR			葡萄牙-巴西
pt-PT			葡萄牙-葡萄牙
pa				Punjab 语
pa-IN			Punjab 语-印度
ro				罗马尼亚语
ro-RO			罗马尼亚语-罗马尼亚
ru				俄国
ru-RU			俄国-俄国
sa				梵文
sa-IN			梵文-印度
sr-SP-Cyrl		塞尔维亚-(西里尔字母的) 塞尔
sr-SP-Latn		塞尔维亚 (拉丁文)-塞尔维亚共
sk				斯洛伐克
sk-SK			斯洛伐克-斯洛伐克
sl				斯洛文尼亚
sl-SI			斯洛文尼亚-斯洛文尼亚
es				西班牙
es-AR			西班牙-阿根廷
es-BO			西班牙-玻利维亚
es-CL			西班牙-智利
es-CO			西班牙-哥伦比亚
es-CR			西班牙-哥斯达黎加
es-DO			西班牙-多米尼加共和国
es-EC			西班牙-厄瓜多尔
es-SV			西班牙-萨尔瓦多
es-GT			西班牙-危地马拉
es-HN			西班牙-洪都拉斯
es-MX			西班牙-墨西哥
es-NI			西班牙-尼加拉瓜
es-PA			西班牙-巴拿马
es-PY			西班牙-巴拉圭
es-PE			西班牙-秘鲁
es-PR			西班牙-波多黎各
es-ES			西班牙-西班牙
es-UY			西班牙-乌拉圭
es-VE			西班牙-委内瑞拉
sw				Swahili
sw-KE			Swahili-肯尼亚
sv				瑞典
sv-FI			瑞典-芬兰
sv-SE			瑞典-瑞典
syr				Syriac
syr-SY			Syriac-叙利亚共和国
ta				坦米尔
ta-IN			坦米尔-印度
tt				Tatar
tt-RU			Tatar-俄国
te				Telugu
te-IN			Telugu-印度
th				泰国
th-TH			泰国-泰国
tr				土耳其语
tr-TR			土耳其语-土耳其
uk				乌克兰
uk-UA			乌克兰-乌克兰
ur				Urdu
ur-PK			Urdu-巴基斯坦
uz				Uzbek
uz-UZ-Cyrl		Uzbek-(西里尔字母的) 乌兹别克
uz-UZ-Latn		Uzbek(拉丁文)-乌兹别克斯坦
vi				越南
vi-VN			越南-越南
cy				威尔士
cy-GB			威尔士-威尔士
xh				isiXhosa
xh-ZA			isiXhosa-南非
zu				isiZulu
zu-ZA			isiZulu-南非
